slug,title,notes,current_excerpt,recommended_excerpt,excerpt_char_count,current_body_plain,recommended_body_html,body_plain_char_count,current_seo_title,recommended_seo_title,seo_title_char_count,current_seo_description,recommended_seo_description,seo_desc_char_count,current_seo_keywords,recommended_seo_keywords,seo_og_image_action
ssm-new-member-brochure,SSM - New Member Brochure,"Current body is about showing design iterations — weak. Reframe as a printed new-member piece for Speaking Spirit Ministries, designed through to press in InDesign/Photoshop/Illustrator.",A custom designed brochure,A press-ready new-member brochure designed to onboard visitors from lobby to next steps.,88,Showcasing some of the designs and edits made to the design before finally going to print,"<p>I designed the new-member brochure for Speaking Spirit Ministries as a physical onboarding piece — the artifact someone holds in the lobby after they have already said yes. It had to carry campus identity, next steps, and the tone of the house (honor, hospitality, hope) without reading like a program insert.</p><p>I took the work from concept through print: Illustrator for the mark and vector system, Photoshop for photography and finish, InDesign for the front-and-back spread, type, and press specs. The gallery on this project is the real process — iterations, not decoration — so you can see how the piece tightened before it hit the printer.</p>",644,,SSM New Member Brochure | Print Design,38,,"Speaking Spirit Ministries new-member brochure — a press-ready spread in InDesign, Photoshop, and Illustrator.",110,,print design; brochure; InDesign; Illustrator; Photoshop; Speaking Spirit Ministries,Clear emulator localhost URL. Leave blank so OG uses the main image.
too-smart-2-start,Too Smart 2 Start,"Typo “Worpdress”. Organization is Henrico Too Smart 2 Start Coalition, 501(c)3 youth substance-misuse prevention (alcohol, nicotine, marijuana; Strategic Prevention Framework). Custom WP content type for campaigns: current campaign as homepage hero, archive in a horizontal slider. Source: toosmart2start.com.",A Custom Worpdress Content Type,A WordPress campaign system built to put the live prevention message on the homepage and the rest in a slider.,110,"Built to display the organizations campaigns, displaying the current campaign as the Hero on the home page and displaying all other in the horizontal slider.","<p>I designed and developed a custom WordPress content type for Henrico Too Smart 2 Start, a 501(c)3 coalition working to reduce youth substance misuse in Henrico County through education, advocacy, and capacity building. Their campaigns are the public face of that work — they needed to lead the homepage, not sit in a blog grid.</p><p>I engineered the current campaign as the hero and every other campaign into a horizontal slider, backed by a custom post type so staff can ship a new push without a developer on the call. The homepage becomes a rotating public-health billboard: one message in command, the archive still visible, the CMS boring in the best way.</p>",656,,Too Smart 2 Start Campaigns | WordPress,39,,Henrico Too Smart 2 Start WordPress campaign system — live hero plus slider for youth prevention campaigns.,107,,WordPress; custom post type; nonprofit; Too Smart 2 Start; campaign CMS; Henrico,Clear emulator localhost URL. Leave blank so OG uses the main image.
tutor-medics,Tutor Medics,"Solid existing copy; make first person and more brand-system. No credible public web property found under this name — do not invent a URL. Keep K–12 / college / professional, virtual + in-person, SEL + test prep.","Brand identity, flyer, and business card system for Tutor Medics.","A brand system designed to make Tutor Medics unmistakable on a flyer, a card, and a counter.",92,"Graphic system for Tutor Medics — tutoring for K–12, college, and professionals, virtual and in-person. Logo, flyer, and business cards using a high-contrast magenta, yellow, and blue palette, with programs spanning subject tutoring, test prep, and SEL.","<p>I designed the brand system for Tutor Medics, a tutoring practice spanning K–12, college, and working professionals — virtual and in-person, subject support through test prep and social-emotional learning. The name had to feel clinical and kind. The color had to survive a phone screenshot and a card left on a kitchen counter.</p><p>I built a high-contrast magenta, yellow, and blue identity in Illustrator, Photoshop, and InDesign: logo and brand spread, flyer, and business cards as one system, not three disconnected jobs. Type, palette, and layout lock so a parent, a principal, and a college student all read the same promise in three seconds.</p>",644,Tutor Medics,Tutor Medics Brand Identity System,34,"Brand identity, flyer, and business card system for Tutor Medics.","Tutor Medics brand identity — logo, flyer, and cards in a high-contrast system for K–12 through professional tutoring.",118,,brand identity; logo design; flyer; business cards; Illustrator; Tutor Medics,Clear emulator localhost URL. Leave blank so OG uses the main image.
vcu-annual-report-2018-19,VCU Annual Report 2018-19,"Strong existing copy. Rewrite in first person; keep the “success is” chaptering (involvement, experience, perspective). You were Senior Digital Developer at VCU on Terminal Four. Archive: annualreports.vcu.edu. Do not attach later award metrics.","Interactive digital annual report for Virginia Commonwealth University — student stories, president’s message, and key initiatives.","A digital annual report built to tell VCU’s year as chapters — student stories, overlay navigation, full-bleed type.",116,"A chaptered Terminal Four annual report built around the theme “success is” — involvement, experience, and perspective — with full-bleed color layouts, large type, student profiles, and an overlay menu for the president’s message and initiatives.","<p>I designed and developed Virginia Commonwealth University’s 2018–19 digital annual report on Terminal Four — a flagship storytelling piece, not a PDF with extra padding. The editorial spine was “success is”: involvement, experience, and perspective. Student stories had to feel like chapters. Leadership had to be a destination, not a masthead.</p><p>I built full-bleed color fields, oversized type, student profiles, and an overlay menu for the president’s message and key initiatives. HTML, CSS, and JavaScript sit inside T4 so university editors could still ship content without breaking the cinematic layout. It reads like a magazine and behaves like a CMS component.</p>",666,VCU Annual Report 2018-19,VCU Annual Report 2018–19 | Digital Story,41,"Interactive digital annual report for Virginia Commonwealth University — student stories, president’s message, and key initiatives.","VCU 2018–19 digital annual report on Terminal Four — “success is” chapters, student stories, and overlay navigation.",116,,Terminal Four; VCU; annual report; digital storytelling; higher ed; HTML CSS JS,Leave blank (already empty) so OG uses the main image.
vcu-annual-report-2019-20,VCU Annual Report 2019-20,Solid facts. First person. Confirmed context: President Rao’s One VCU message; COVID pivot; Medicines for All / essential-pharma manufacturing story in 2019–20 research reporting. Source: annualreports2020.vcu.edu letter; OVPRI 2019–20 report.,"Digital annual report for VCU covering a year of extraordinary challenge — One VCU, COVID research, and the pivot to virtual.","A digital annual report designed to tell a pandemic year as chapters — One VCU, research, and the virtual pivot.",112,"A visual, chaptered annual report for 2019–20: President Rao’s “One VCU” message, Medicines for All and other COVID-19 research, the pivot to virtual teaching and commencement, athletics, and planning a return to campus.","<p>I designed and developed VCU’s 2019–20 digital annual report for a year that refused to sit still: pandemic, remote teaching, and a university that had to prove it was still one institution. President Rao’s “One VCU” frame, Medicines for All and COVID-era research, virtual commencement, athletics, and the plan to return to campus all needed a visual system that could carry gravity without looking funereal.</p><p>I built a chaptered Terminal Four experience — responsive layouts, large photography, and HTML/CSS/JS components that let the year unfold as a story instead of a stacked press release. Editors could update; the design still held the room.</p>",649,VCU Annual Report 2019-20,VCU Annual Report 2019–20 | One VCU,35,"Digital annual report for VCU covering a year of extraordinary challenge — One VCU, COVID research, and the pivot to virtual.","VCU 2019–20 digital annual report on Terminal Four — One VCU, COVID research, and a chaptered year of challenge.",112,,Terminal Four; VCU; annual report; One VCU; COVID-19; digital storytelling,Leave blank (already empty) so OG uses the main image.
vcu-school-of-dentistry-mega-menu,VCU School of Dentistry Mega Menu,"Good technical copy. Elevate with live-site context: only dental school in Virginia; programs (DDS, hygiene, advanced ed, international dentist, research); gold brand. Mega menu: Programs, Patients, About, Research, Alumni, Contacts + homepage search. Source: dentistry.vcu.edu.",Multi-column mega menu and site search for dentistry.vcu.edu.,"A mega menu built to wayfind Virginia’s only dental school — programs, patients, research, and search.",102,"Custom Terminal Four mega menu for VCU School of Dentistry: Programs, Patients, About, Research, Alumni, and Contacts, with gold intro panels, multi-column link groups, and a full-width search bar on the homepage hero.","<p>I designed and developed the mega menu for dentistry.vcu.edu, the public site of Virginia’s only dental school — a flagship that has to serve prospective DDS and hygiene students, patients booking care, researchers, alumni, and referring clinicians without making any of them feel lost.</p><p>I built a custom Terminal Four and vanilla JavaScript mega menu: Programs, Patients, About, Research, Alumni, and Contacts, with gold intro panels, multi-column link groups, and a full-width search bar in the homepage hero. It is ADA-minded, CMS-editable, and fast — no third-party mega-menu plugin, no layout lottery on the next T4 publish.</p>",629,VCU School of Dentistry Mega Menu,VCU Dentistry Mega Menu | Terminal Four,39,Multi-column mega menu and site search for dentistry.vcu.edu.,"Multi-column mega menu and site search for VCU School of Dentistry — Programs, Patients, Research, Terminal Four.",113,,Terminal Four; mega menu; VCU School of Dentistry; vanilla JavaScript; higher ed; site search,Clear emulator localhost URL. Leave blank so OG uses the main image.
vcu-social-work-directory,VCU Social Work Directory,"Strong. First person + emphasize no third-party scripts / reusable JSON component (resume claim). Live: socialwork.vcu.edu/directory/ (faculty, staff, Ph.D., emeriti).","Searchable, filterable faculty and staff directory for the VCU School of Social Work.","A faculty directory built to search, filter, and open profiles with no third-party scripts.",91,"JSON-driven directory on Terminal Four: search by name, email, or expertise, filter by unit and role, and open profile pages with expertise, credentials, and selected publications — built as a reusable vanilla JS component without third-party scripts.","<p>I designed and engineered the faculty and staff directory for the VCU School of Social Work — a JSON-driven Terminal Four component that had to feel like a product, not a table dump. Researchers hunt by expertise. Students hunt by name. Staff hunt by unit. One interface, no jQuery plugin tax.</p><p>I wrote reusable vanilla JavaScript: search across name, email, and expertise; filter by unit and role; profile cards that open into credentials, expertise, and selected publications. It ships without third-party scripts so it survives university security reviews and the next CMS upgrade. Other VCU units can adopt the pattern instead of buying a directory SaaS.</p>",658,VCU Social Work Directory,VCU Social Work Faculty Directory,33,"Searchable, filterable faculty and staff directory for the VCU School of Social Work.","VCU School of Social Work faculty directory — JSON search, unit/role filters, and profiles in vanilla JS, no third-party scripts.",129,,Terminal Four; vanilla JavaScript; faculty directory; VCU Social Work; JSON; higher ed,Clear emulator localhost URL. Leave blank so OG uses the main image.
w2-oconus-selector,W2 OCONUS Selector,"Technically accurate. First person + human stakes: OCONUS users need command-specific crisis/DSN contacts (AFRICOM, CENTCOM, EUCOM, INDOPACOM, NORTHCOM, SOUTHCOM). Built on warfighterwellness.org during Battelle / DHA Public Health work. Source: warfighterwellness.org.",Combatant-command selector for Warfighter Wellness visitors stationed OCONUS.,A command selector built to give Service Members abroad the right crisis and DSN contacts.,90,"A homepage modal and footer flow on warfighterwellness.org that asks visitors to select a combatant command (AFRICOM, CENTCOM, EUCOM, INDOPACOM, NORTHCOM, SOUTHCOM). The choice is stored as a combatant_command query parameter and updates crisis-line / DSN contact details for OCONUS users.","<p>I designed and developed the OCONUS selector on warfighterwellness.org because a stateside 988 banner is not enough for a Service Member in another theater. Visitors stationed outside the continental U.S. choose a combatant command — AFRICOM, CENTCOM, EUCOM, INDOPACOM, NORTHCOM, or SOUTHCOM — and the site has to answer with the right crisis-line and DSN details.</p><p>I built a homepage modal and footer flow in WordPress and custom JavaScript. The choice persists as a <code>combatant_command</code> query parameter so the banner, contacts, and deep links stay in sync as they move through the site. It is a small UI with outsized stakes: the right number, in the right theater, without a scavenger hunt through policy PDFs.</p>",710,W2 OCONUS Selector,Warfighter Wellness OCONUS Command Selector,43,Combatant-command selector for Warfighter Wellness visitors stationed OCONUS.,Warfighter Wellness OCONUS command selector — URL-driven theater choice with matching crisis and DSN contacts.,110,,WordPress; OCONUS; Warfighter Wellness; DSN; combatant command; custom JavaScript,Clear emulator localhost URL. Leave blank so OG uses the main image.
afwc,Warfighter Wellness - AFWC,"Good. First person. AFWCs: evidence-based health coaching and fitness testing for Service Members, families, retirees, DoD civilians; map regions United States / Europe / Korea-Japan. Your Battelle role was senior web dev for Navy and Marine Corps Force Health Protection Command. Source: warfighterwellness.org/armed-forces-wellness-centers/ and health.mil AFWC ops.","Armed Forces Wellness Centers site design — hero, navigation, search, and interactive map.",A wellness-centers site designed to get Service Members from search to a map of AFWC locations.,95,"UI for the Armed Forces Wellness Centers experience on Warfighter Wellness: olive/tan brand header, category nav, expanded search, and the interactive SVG map of wellness center locations.

The Armed Forces Wellness Centers provide health coaching and fitness testing for Service Members, families, retirees, and DoD civilians.","<p>I designed and developed the Armed Forces Wellness Centers experience on Warfighter Wellness — the public front door for a Defense Health program that delivers health coaching, advanced fitness testing, and classes to Service Members, families, retirees, and DoD civilians across CONUS and OCONUS.</p><p>I built the olive/tan brand header, category navigation, expanded search, and the interactive SVG map of centers in the United States, Europe, and Korea/Japan. WordPress, Advanced Custom Fields, custom SVG/JavaScript, and production HTML/CSS keep the CMS in the hands of the program while the interface still feels like a product: mission-ready, not a default theme with a stock map pin.</p>",686,AFWC,Armed Forces Wellness Centers Site | AFWC,41,"Armed Forces Wellness Centers site design — hero, navigation, search, and interactive map.","Armed Forces Wellness Centers on Warfighter Wellness — brand header, search, and an interactive map of centers.",111,,WordPress; AFWC; Warfighter Wellness; ACF; SVG map; military health,Clear emulator localhost URL. Leave blank so OG uses the main image.
warfighter-wellness-interactive-svg-map,Warfighter Wellness - Interactive SVG Map,"Thin and has “response SVG” typo. This is the map engine behind AFWC locations (3 regions: US, Europe, Korea/Japan). Custom post type + ACF + wp-json. Differentiate from the AFWC page (that post is the full page UI; this is the map system).",An interactive map showcasing the Wellness Center locations across the organization,"An interactive SVG map built to plot AFWC locations across the U.S., Europe, and Korea/Japan.",93,This project showcases an interactive response SVG map that allows users to see Wellness Center location across 3 regions.,"<p>I designed and engineered the interactive SVG map that powers Armed Forces Wellness Center locations on Warfighter Wellness. Three theaters — United States, Europe, Korea/Japan — had to be readable at a glance and accurate when a center is added, moved, or renamed.</p><p>I built a custom post type and ACF metaboxes as the source of truth, then drove the map from WordPress wp-json so editors update locations without touching illustration files. Custom SVG and JavaScript handle region switching, hit areas, and detail panels. It is cartography as a CMS component: the map is the product, the admin is the ops console.</p>",615,,AFWC Interactive SVG Location Map,33,,"AFWC interactive SVG location map on WordPress — custom post types, ACF, and wp-json across three regions.",106,,SVG map; WordPress; ACF; wp-json; AFWC; custom post type,Clear emulator localhost URL. Leave blank so OG uses the main image.
why-vcu,Why VCU?,Grammar issues; generic. You built a Terminal Four microsite for prospective students (university + Richmond). Do not claim 2025 admissions-site award metrics (after you left). Theme: uncommon / city + campus. Source: existing post + VCU prospective-student positioning; resume T4 work 2019–23.,A marketing microsite for VCU,"A recruitment microsite created to make VCU feel specific — campus, health system, and Richmond, not a ranking list.",116,This was a microsite project build to showcasing to prospective VCU students all the great things the university and the community has to offer as they are considering to attend VCU,"<p>I designed and developed the Why VCU? microsite for prospective students who were already drowning in viewbooks. The job was to make Virginia Commonwealth University feel specific: two campuses, a working city, a research and health system in the same breath as student life — and to do it with interaction, not a bullet list of rankings.</p><p>I built it in Terminal Four with custom HTML, CSS, and JavaScript: interactive modules that let a visitor poke at academics, community, and Richmond without a linear scroll to nowhere. It was recruitment as product design — motion and structure in service of a decision, not a brand film with a form at the end.</p>",651,,Why VCU? Prospective Student Microsite,38,,"Why VCU? prospective-student microsite on Terminal Four — interactive modules on campus, city, and community.",109,,Terminal Four; VCU; microsite; prospective students; higher ed; interactive,Clear emulator localhost URL. Leave blank so OG uses the main image.
